"PSH_CODE","PSH_NAME"
2840,"KARIAH"
2841,"KARLO"
2842,"KARNAK"
2843,"KARNGUN"
2844,"KARRABUMET"
2845,"KARRAMOMUS"
2846,"KARUP KARUP"
2847,"KARWEEN"
2848,"KARYRIE"
2849,"KATAMATITE"
2850,"KATANDRA"
2851,"KATTYOONG"
2852,"KATUNGA"
2853,"KATYIL"
2854,"KAY"
2855,"KEELANGIE"
2856,"KEELBUNDORA"
2857,"KEILAMBETE"
2858,"KELFEERA"
2859,"KELLALAC"
2860,"KENMARE"
2861,"KENTBRUCK"
2862,"KERANG"
2863,"KERGUNYAH"
2864,"KERGUNYAH NORTH"
2865,"KERRIE"
2866,"KERRISDALE"
2867,"KERRIT BAREET"
2868,"KEVINGTON"
2869,"KEWELL EAST"
2870,"KEWELL WEST"
2871,"KIA"
2872,"KIALLA"
2873,"KIANEEK"
2874,"KIATA"
2875,"KILLARA"
2876,"KILLAWARRA"
2877,"KILLINGWORTH"
2878,"KILNOORAT"
2879,"KIMBOLTON"
2880,"KINABULLA"
2881,"KINGLAKE"
2882,"KINGOWER"
2883,"KINIMAKATKA"
2884,"KINKELLA"
2885,"KINYPANIAL"
2886,"KIORA"
2887,"KIRKELLA"
2888,"KIRKENONG"
2889,"KIRRAK"
2890,"KNAAWING"
2891,"KNOCKWOOD"
2892,"KNOWSLEY"
2893,"KNOWSLEY EAST"
2894,"KOBYBOYN"
2895,"KOETONG"
2896,"KOIMBO"
2897,"KOLEYA"
2898,"KOLORA"
2899,"KONARDIN"
2900,"KONGBOOL"
2901,"KONGWAK"
2902,"KONNEPRA"
2903,"KONONG WOOTONG"
2904,"KOOEM"
2905,"KOOLA"
2906,"KOOLOMERT"
2907,"KOOMBERAR"
2908,"KOONDA"
2909,"KOONIKA"
2910,"KOONIK KOONIK"
2911,"KOORAGAN"
2912,"KOORANGIE"
2913,"KOOREH"
2914,"KOORKAB"
2915,"KOOROC"
2916,"KOOROOL"
2917,"KOOROOMAN"
2918,"KOOROON"
2919,"KOORT-KOORT-NONG"
2920,"KOO-WEE-RUP"
2921,"KOO-WEE-RUP EAST"
2922,"KORKUPERRIMUL"
2923,"KORNONG"
2924,"KORO-GANEIT"
2925,"KOROIT"
2926,"KORONG"
2927,"KOROROIT"
2928,"KORRAK KORRAK"
2929,"KORUMBURRA"
2930,"KORWEINGUBOORA"
2931,"KOSCIUSKO"
2932,"KOTUPNA"
2933,"KOUT NARIN"
2934,"KOWAT"
2935,"KOYUGA"
2936,"KRAMBRUK"
2937,"KUARK"
2938,"KULK"
2939,"KULKYNE"
2940,"KULWIN"
2941,"KUNAT KUNAT"
2942,"KURDGWEECHEE"
2943,"KURNBRUNIN"
2944,"KURNWILL"
2945,"KURRACA"
2946,"KURTING"
2947,"KURUC-A-RUC"
2948,"KYABRAM"
2949,"KYABRAM EAST"
2950,"KYBEYAN"
2951,"LAANECOORIE"
2952,"LAANG"
2953,"LACEBY"
2954,"LAEN"
2955,"LAH-ARUM"
2956,"LAKE LAKE WOLLARD"
2957,"LALBERT"
2958,"LALKALDARNO"
2959,"LAL LAL"
2960,"LALLAT"
2961,"LAMBRUK"
2962,"LANCEFIELD"
2963,"LANDSBOROUGH"
2964,"LANGI-GHIRAN"
2965,"LANGI-KAL-KAL"
2966,"LANGI LOGAN"
2967,"LANGKOOP"
2968,"LANG LANG"
2969,"LANG LANG EAST"
2970,"LANGLEY"
2971,"LANGULAC"
2972,"LANGWARRIN"
2973,"LANGWORNOR"
2974,"LARA"
2975,"LARNEEBUNYAH"
2976,"LARUNDEL"
2977,"LA TROBE"
2978,"LAURAVILLE"
2979,"LAURISTON"
2980,"LAWALUK"
2981,"LAWLOIT"
2982,"LAZARINI"
2983,"LEAGHUR"
2984,"LEDCOURT"
2985,"LEEOR"
2986,"LEICHARDT"
2987,"LEONGATHA"
2988,"LEXINGTON"
2989,"LEXTON"
2990,"LIANIDUCK"
2991,"LICOLA"
2992,"LICOLA NORTH"
2993,"LIGAR"
2994,"LILLICUR"
2995,"LILLIMUR"
2996,"LILLIPUT"
2997,"LILLIRIE"
2998,"LIMA"
2999,"LINLITHGOW"
3000,"LINTON"
3001,"LIPAROO"
3002,"LISMORE"
3003,"LITTLE BILLY"
3004,"LIVINGSTONE"
3005,"LOCHIEL"
3006,"LOCKWOOD"
3007,"LODDON"
3008,"LODGE PARK"
3009,"LONGERENONG"
3010,"LONGFORD"
3011,"LONGWARRY"
3012,"LONGWOOD"
3013,"LOOMAT"
3014,"LOONGELAAT"
3015,"LORNE"
3016,"LORQUON"
3017,"LOWAN"
3018,"LOWRY"
3019,"LOYOLA"
3020,"LOY YANG"
3021,"LUDRIK-MUNJIE"
3022,"LURG"
3023,"LYELL"
3024,"LYNCHFIELD"
3025,"LYNDHURST"
3026,"MACARTHUR"
3027,"MACEDON"
3028,"MACORNA"
3029,"MAFFRA"
3030,"MAGDALA"
3031,"MAGDALA SOUTH"
3032,"MAGEPPA"
3033,"MAGORRA"
3034,"MAHARATTA"
3035,"MAHKWALLOK"
3036,"MAHRONG"
3037,"MAINDAMPLE"
3038,"MAINTONGOON"
3039,"MAJORLOCK"
3040,"MALAKOFF"
3041,"MALANGANEE"
3042,"MALDON"
3043,"MALKARA"
3044,"MALLACOOTA"
3045,"MALLANBOOL"
3046,"MALLOREN"
3047,"MAMBOURIN"
3048,"MAMENGOROOCK"
3049,"MANANGATANG"
3050,"MANANGO"
3051,"MANDURANG"
3052,"MANEROO"
3053,"MANGALORE"
3054,"MANNIBADAR"
3055,"MANPY"
3056,"MANSFIELD"
3057,"MANYA"
3058,"MARAMINGO"
3059,"MARDAN"
3060,"MARGOOYA"
3061,"MARIBYRNONG"
3062,"MARIDA YALLOCK"
3063,"MARLBED"
3064,"MARLOOH"
3065,"MARMA"
3066,"MARMAL"
3067,"MARNOO"
3068,"MARONG"
3069,"MARRAWEENY"
3070,"MARROO"
3071,"MARYBOROUGH"
3072,"MARYVALE"
3073,"MATLOCK"
3074,"MATONG"
3075,"MATONG NORTH"
3076,"MEATIAN"
3077,"MEENIYAN"
3078,"MEERAI"
3079,"MEEREEK"
3080,"MEERING"
3081,"MEERING WEST"
3082,"MEERLIEU"
3083,"MELBOURNE NORTH"
3084,"MELBOURNE SOUTH"
3085,"MELLICK-MUNJIE"
3086,"MELLIER"
3087,"MEPUNGA"
3088,"MERAN"
3089,"MERBEIN"
3090,"MEREDITH"
3091,"MERINGUR"
3092,"MERINO"
3093,"MERRIANG"
3094,"MERRIJIG"
3095,"MERRIMU"
3096,"MERRINEE"
3097,"MERRYMBUELA"
3098,"MERTON"
3099,"METCALFE"
3100,"MICKLEHAM"
3101,"MIEPOLL"
3102,"MILDURA"
3103,"MILLEWA"
3104,"MILLOO"
3105,"MILMED"
3106,"MINAPRE"
3107,"MINCHA"
3108,"MINCHA WEST"
3109,"MINDAI"
3110,"MINHAMITE"
3111,"MINIMAY"
3112,"MININERA"
3113,"MINJAH"
3114,"MINJAH NORTH"
3115,"MINOOK"
3116,"MINTO"
3117,"MIOWERA"
3118,"MIRAMPIRAM"
3119,"MIRBOO"
3120,"MIRBOO SOUTH"
3121,"MIRIMBAH"
3122,"MIRKOO"
3123,"MIRNEE"
3124,"MIRRANATWA"
3125,"MITCHELL"
3126,"MITIAMO"
3127,"MITTA MITTA"
3128,"MITTYACK"
3129,"MITTYAN"
3130,"MOAH"
3131,"MOALLAACK"
3132,"MOCAMBORO"
3133,"MOCKINYA"
3134,"MODEWARRE"
3135,"MOE"
3136,"MOGLONEMBY"
